"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 10 15:18:43 GMT 2023","Wed May 10 15:18:44 GMT 2023","266","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [1] null","Проверка status code при удалении пользователя с несуществующими id"
"passed","Wed May 10 15:18:43 GMT 2023","Wed May 10 15:18:43 GMT 2023","277","","reqres.ReqresTests","","reqres.ReqresTests","successDeleteUser","Позитивный тест для DELETE/users/{id} [1] 1","Проверка status code при удалении пользователя с существующими id"
"passed","Wed May 10 15:18:43 GMT 2023","Wed May 10 15:18:43 GMT 2023","257","","reqres.ReqresTests","","reqres.ReqresTests","successDeleteUser","Позитивный тест для DELETE/users/{id} [2] 2","Проверка status code при удалении пользователя с существующими id"
"failed","Wed May 10 15:18:44 GMT 2023","Wed May 10 15:18:44 GMT 2023","262","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [2] 110","Проверка status code при удалении пользователя с несуществующими id"
"passed","Wed May 10 15:18:45 GMT 2023","Wed May 10 15:18:46 GMT 2023","74","","reqres.ReqresTests","","reqres.ReqresTests","successGetSingleUser","Позитивный тест для Get/users/{id}","Проверка совпадения id при вводе и в ответе и проверка того, что почта заканчивается на @reqres.in"
"passed","Wed May 10 15:18:42 GMT 2023","Wed May 10 15:18:43 GMT 2023","434","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessCheckStatusCode","Негативный тест для POST/register","Проверка значений status code и error message при вводе только email, без ввода пароля"
"failed","Wed May 10 15:18:38 GMT 2023","Wed May 10 15:18:42 GMT 2023","4191","","reqres.ReqresTests","","reqres.ReqresTests","unuccessUpdateUser","Негативный тест для Put/users/{id}","Проверка обновления пользователя при заполнении поля job, но без заполнения поля name "
"passed","Wed May 10 15:18:44 GMT 2023","Wed May 10 15:18:45 GMT 2023","820","","reqres.ReqresTests","","reqres.ReqresTests","successUpdateUser","Позитивный тест для Put/users/{id}","Проверка обновления пользователя при заполнении полей name и job"
"passed","Wed May 10 15:18:44 GMT 2023","Wed May 10 15:18:44 GMT 2023","270","","reqres.ReqresTests","","reqres.ReqresTests","successCheckId","Позитивный тест для POST/register","Проверка значений status code и id при вводе email и password"
"passed","Wed May 10 15:18:45 GMT 2023","Wed May 10 15:18:45 GMT 2023","296","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessGetSingleUser","Негативный тест для Get/users/{id}","Проверка status code при вводе несуществующего id"
"failed","Wed May 10 15:18:44 GMT 2023","Wed May 10 15:18:44 GMT 2023","255","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [3] -15","Проверка status code при удалении пользователя с несуществующими id"
